"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations","Total refugees and people in refugee-like situations assisted by UNHCR"
"Somalia","Yemen","2003","6","6","6","6"
"South Africa","Afghanistan","2003","15","2","15","2"
"South Africa","Algeria","2003","1","","1",""
"South Africa","Angola","2003","5773","516","5773","516"
"South Africa","Bosnia and Herzegovina","2003","27","1","27","1"
"South Africa","Burundi","2003","1986","898","1986","898"
"South Africa","Cameroon","2003","34","5","34","5"
"South Africa","Congo","2003","1053","71","1053","71"
"South Africa","Côte d'Ivoire","2003","5","","5",""
"South Africa","Cuba","2003","1","","1",""
"South Africa","Dem. Rep. of the Congo","2003","8890","2693","8890","2693"
"South Africa","Egypt","2003","1","","1",""
"South Africa","Eritrea","2003","","2","","2"
"South Africa","Ethiopia","2003","21","38","21","38"
"South Africa","Ghana","2003","5","1","5","1"
"South Africa","India","2003","2","","2",""
"South Africa","Iraq","2003","11","8","11","8"
"South Africa","Islamic Rep. of Iran","2003","4","","4",""
"South Africa","Kenya","2003","12","","12",""
"South Africa","Kyrgyzstan","2003","18","","18",""
"South Africa","Liberia","2003","213","","213",""
"South Africa","Macao SAR, China","2003","1","","1",""
"South Africa","Mali","2003","1","","1",""
"South Africa","Mozambique","2003","1","","1",""
"South Africa","Nigeria","2003","22","","22",""
"South Africa","Pakistan","2003","28","","28",""
"South Africa","Rwanda","2003","1193","1084","1193","1084"
"South Africa","Senegal","2003","4","","4",""
"South Africa","Serbia (and Kosovo: S/RES/1244 (1999))","2003","34","","34",""
"South Africa","Sierra Leone","2003","52","1","52","1"
"South Africa","Slovenia","2003","2","","2",""
"South Africa","Somalia","2003","6890","409","6890","409"
"South Africa","Sri Lanka","2003","3","","3",""
"South Africa","Sudan","2003","177","136","177","136"
"South Africa","Uganda","2003","30","41","30","41"
"South Africa","United Rep. of Tanzania","2003","5","2","5","2"
"South Africa","Various","2003","24","42","24","42"
"South Africa","Zambia","2003","8","1","8","1"
"South Africa","Zimbabwe","2003","11","12","11","12"
"Spain","Afghanistan","2003","94","","94",""
"Spain","Albania","2003","43","","43",""
"Spain","Algeria","2003","537","","537",""
"Spain","Angola","2003","172","","172",""
"Spain","Argentina","2003","434","","434",""
"Spain","Armenia","2003","301","","301",""
"Spain","Azerbaijan","2003","48","","48",""
"Spain","Bangladesh","2003","12","","12",""
"Spain","Belarus","2003","29","","29",""
"Spain","Bhutan","2003","1","","1",""
"Spain","Bosnia and Herzegovina","2003","178","","178",""
"Spain","Bulgaria","2003","1","","1",""
"Spain","Burkina Faso","2003","3","","3",""
"Spain","Burundi","2003","3","","3",""
"Spain","Cambodia","2003","1","","1",""
"Spain","Cameroon","2003","31","","31",""
"Spain","Central African Rep.","2003","1","","1",""
"Spain","Chad","2003","1","","1",""
"Spain","Chile","2003","2","","2",""
"Spain","China","2003","18","","18",""
"Spain","Colombia","2003","680","","680",""
"Spain","Congo","2003","24","","24",""
"Spain","Côte d'Ivoire","2003","16","","16",""
"Spain","Cuba","2003","627","","627",""
"Spain","Dem. Rep. of the Congo","2003","188","","188",""
"Spain","Ecuador","2003","8","","8",""
"Spain","Egypt","2003","3","","3",""
"Spain","El Salvador","2003","1","","1",""
"Spain","Equatorial Guinea","2003","379","","379",""
"Spain","Eritrea","2003","4","","4",""
"Spain","Ethiopia","2003","86","","86",""
"Spain","Gabon","2003","1","","1",""
"Spain","Gambia","2003","12","","12",""
"Spain","Georgia","2003","95","","95",""
"Spain","Ghana","2003","4","","4",""
"Spain","Guinea","2003","17","","17",""
"Spain","Guinea-Bissau","2003","3","","3",""
"Spain","Haiti","2003","4","","4",""
"Spain","Honduras","2003","4","","4",""
"Spain","India","2003","3","","3",""
"Spain","Iraq","2003","257","","257",""
"Spain","Islamic Rep. of Iran","2003","131","","131",""
"Spain","Jordan","2003","7","","7",""
"Spain","Kazakhstan","2003","3","","3",""
"Spain","Kenya","2003","4","","4",""
"Spain","Kyrgyzstan","2003","3","","3",""
"Spain","Latvia","2003","4","","4",""
"Spain","Lebanon","2003","1","","1",""
"Spain","Liberia","2003","44","","44",""
"Spain","Mauritania","2003","23","","23",""
"Spain","Morocco","2003","49","","49",""
"Spain","Mozambique","2003","1","","1",""
"Spain","Myanmar","2003","6","","6",""
"Spain","Nigeria","2003","53","","53",""
"Spain","Pakistan","2003","36","","36",""
"Spain","Peru","2003","119","","119",""
"Spain","Rep. of Moldova","2003","11","","11",""
"Spain","Romania","2003","11","","11",""
"Spain","Russian Federation","2003","400","","400",""
"Spain","Rwanda","2003","38","","38",""
"Spain","Senegal","2003","3","","3",""
"Spain","Serbia (and Kosovo: S/RES/1244 (1999))","2003","88","","88",""
"Spain","Sierra Leone","2003","122","","122",""
"Spain","Slovenia","2003","1","","1",""
"Spain","Somalia","2003","153","","153",""
"Spain","Sri Lanka","2003","11","","11",""
"Spain","State of Palestine","2003","3","","3",""
"Spain","Stateless","2003","29","","29",""
"Spain","Sudan","2003","35","","35",""
"Spain","Syrian Arab Rep.","2003","15","","15",""
"Spain","Tajikistan","2003","4","","4",""
"Spain","Togo","2003","4","","4",""
"Spain","Tunisia","2003","24","","24",""
"Spain","Turkey","2003","14","","14",""
"Spain","Uganda","2003","1","","1",""
"Spain","Ukraine","2003","65","","65",""
"Spain","Uzbekistan","2003","1","","1",""
"Spain","Various","2003","12","","12",""
"Spain","Viet Nam","2003","40","","40",""
"Spain","Yemen","2003","5","","5",""
"Sri Lanka","Afghanistan","2003","12","12","12","12"
"Sri Lanka","Iraq","2003","14","14","14","14"
"Sri Lanka","Liberia","2003","1","1","1","1"
"Sri Lanka","Pakistan","2003","1","1","1","1"
"Sri Lanka","State of Palestine","2003","1","1","1","1"
"Sri Lanka","Stateless","2003","1","1","1","1"
"Sudan","Burundi","2003","1","","1",""
"Sudan","Cameroon","2003","1","","1",""
"Sudan","Chad","2003","5023","","5023",""
"Sudan","Dem. Rep. of the Congo","2003","1632","","1632",""
"Sudan","Eritrea","2003","108251","72906","108251","72906"
"Sudan","Ethiopia","2003","15251","806","15251","806"
"Sudan","Jordan","2003","3","","3",""
"Sudan","Somalia","2003","17","5","17","5"
"Sudan","Syrian Arab Rep.","2003","1","","1",""
"Sudan","Uganda","2003","7983","","7983",""
"Swaziland","Angola","2003","95","90","95","90"
"Swaziland","Bulgaria","2003","4","","4",""
"Swaziland","Burundi","2003","155","140","155","140"
"Swaziland","Congo","2003","56","53","56","53"
"Swaziland","Dem. Rep. of the Congo","2003","94","88","94","88"
"Swaziland","Ethiopia","2003","23","23","23","23"
"Swaziland","Kenya","2003","1","","1",""
"Swaziland","Liberia","2003","36","27","36","27"
"Swaziland","Nigeria","2003","2","","2",""
"Swaziland","Russian Federation","2003","4","","4",""
"Swaziland","Rwanda","2003","74","64","74","64"
"Swaziland","Sierra Leone","2003","13","13","13","13"
"Swaziland","Somalia","2003","69","60","69","60"
"Swaziland","Sri Lanka","2003","17","17","17","17"
"Swaziland","Uganda","2003","43","40","43","40"
"Sweden","Afghanistan","2003","3425","","3425",""
"Sweden","Albania","2003","116","","116",""
"Sweden","Algeria","2003","92","","92",""
"Sweden","Andorra","2003","1","","1",""
"Sweden","Angola","2003","84","","84",""
"Sweden","Argentina","2003","10","","10",""
"Sweden","Armenia","2003","352","","352",""
"Sweden","Azerbaijan","2003","111","","111",""
"Sweden","Bahrain","2003","12","","12",""
"Sweden","Bangladesh","2003","393","","393",""
"Sweden","Barbados","2003","1","","1",""
"Sweden","Belarus","2003","101","","101",""
"Sweden","Belgium","2003","9","","9",""
"Sweden","Bhutan","2003","5","","5",""
"Sweden","Bolivia (Plurinational State of)","2003","59","","59",""
"Sweden","Bosnia and Herzegovina","2003","25836","","25836",""
"Sweden","Brazil","2003","1","","1",""
"Sweden","Bulgaria","2003","35","","35",""
"Sweden","Burundi","2003","292","","292",""
"Sweden","Cambodia","2003","2","","2",""
"Sweden","Cameroon","2003","16","","16",""
"Sweden","Canada","2003","1","","1",""
"Sweden","Chad","2003","7","","7",""
"Sweden","Chile","2003","95","","95",""
"Sweden","China","2003","170","","170",""
"Sweden","Colombia","2003","572","","572",""
"Sweden","Congo","2003","45","","45",""
"Sweden","Costa Rica","2003","1","","1",""
"Sweden","Côte d'Ivoire","2003","17","","17",""
"Sweden","Croatia","2003","2831","","2831",""
"Sweden","Cuba","2003","317","","317",""
"Sweden","Czech Rep.","2003","1","","1",""
"Sweden","Dem. People's Rep. of Korea","2003","2","","2",""
"Sweden","Dem. Rep. of the Congo","2003","258","","258",""
"Sweden","Djibouti","2003","9","","9",""
"Sweden","Dominican Rep.","2003","4","","4",""
"Sweden","Ecuador","2003","49","","49",""
"Sweden","Egypt","2003","108","","108",""
"Sweden","El Salvador","2003","88","","88",""
"Sweden","Equatorial Guinea","2003","1","","1",""
"Sweden","Eritrea","2003","271","","271",""
"Sweden","Estonia","2003","32","","32",""
"Sweden","Ethiopia","2003","389","","389",""
"Sweden","Gambia","2003","7","","7",""
"Sweden","Georgia","2003","78","","78",""
"Sweden","Germany","2003","1","","1",""
"Sweden","Ghana","2003","6","","6",""
"Sweden","Greece","2003","3","","3",""
"Sweden","Guatemala","2003","8","","8",""
"Sweden","Guinea","2003","3","","3",""
"Sweden","Guinea-Bissau","2003","2","","2",""
"Sweden","Haiti","2003","4","","4",""
"Sweden","Honduras","2003","35","","35",""
"Sweden","Hong Kong SAR, China","2003","2","","2",""
"Sweden","Hungary","2003","7","","7",""
"Sweden","India","2003","61","","61",""
"Sweden","Indonesia","2003","6","","6",""
"Sweden","Iraq","2003","23918","","23918",""
"Sweden","Islamic Rep. of Iran","2003","5181","","5181",""
"Sweden","Israel","2003","11","","11",""
"Sweden","Italy","2003","5","","5",""
"Sweden","Jordan","2003","97","","97",""
"Sweden","Kazakhstan","2003","180","","180",""
"Sweden","Kenya","2003","46","","46",""
"Sweden","Kiribati","2003","15","","15",""
"Sweden","Kuwait","2003","2","","2",""
"Sweden","Kyrgyzstan","2003","32","","32",""
"Sweden","Lao People's Dem. Rep.","2003","51","","51",""
"Sweden","Latvia","2003","18","","18",""
"Sweden","Lebanon","2003","462","","462",""
"Sweden","Liberia","2003","142","","142",""
"Sweden","Libya","2003","31","","31",""
"Sweden","Lithuania","2003","18","","18",""
"Sweden","Malawi","2003","5","","5",""
"Sweden","Malaysia","2003","7","","7",""
"Sweden","Mali","2003","4","","4",""
"Sweden","Mauritania","2003","4","","4",""
"Sweden","Mauritius","2003","1","","1",""
"Sweden","Mexico","2003","2","","2",""
"Sweden","Morocco","2003","35","","35",""
"Sweden","Mozambique","2003","1","","1",""
"Sweden","Myanmar","2003","31","","31",""
"Sweden","Nepal","2003","1","","1",""
"Sweden","Netherlands","2003","2","","2",""
"Sweden","Nicaragua","2003","13","","13",""
"Sweden","Niger","2003","1","","1",""
"Sweden","Nigeria","2003","26","","26",""
"Sweden","Pakistan","2003","170","","170",""
"Sweden","Panama","2003","4","","4",""
"Sweden","Peru","2003","951","","951",""
"Sweden","Philippines","2003","6","","6",""
"Sweden","Poland","2003","45","","45",""
"Sweden","Rep. of Korea","2003","6","","6",""
"Sweden","Rep. of Moldova","2003","10","","10",""
"Sweden","Romania","2003","58","","58",""
"Sweden","Russian Federation","2003","1017","","1017",""
"Sweden","Rwanda","2003","113","","113",""
"Sweden","Saudi Arabia","2003","3","","3",""
"Sweden","Senegal","2003","6","","6",""
"Sweden","Serbia (and Kosovo: S/RES/1244 (1999))","2003","27897","","27897",""
"Sweden","Sierra Leone","2003","97","","97",""
"Sweden","Singapore","2003","1","","1",""
"Sweden","Slovakia","2003","14","","14",""
"Sweden","Slovenia","2003","21","","21",""
"Sweden","Somalia","2003","4258","","4258",""
"Sweden","South Africa","2003","1","","1",""
"Sweden","Sri Lanka","2003","81","","81",""
"Sweden","Stateless","2003","1481","","1481",""
"Sweden","Sudan","2003","90","","90",""
"Sweden","Sweden","2003","3","","3",""
"Sweden","Syrian Arab Rep.","2003","1048","","1048",""
"Sweden","Tajikistan","2003","47","","47",""
"Sweden","Thailand","2003","27","","27",""
"Sweden","The former Yugoslav Rep. of Macedonia","2003","329","","329",""
"Sweden","Togo","2003","36","","36",""
"Sweden","Tunisia","2003","78","","78",""
"Sweden","Turkey","2003","887","","887",""
"Sweden","Turkmenistan","2003","73","","73",""
"Sweden","Uganda","2003","338","","338",""
"Sweden","Ukraine","2003","218","","218",""
"Sweden","United Arab Emirates","2003","1","","1",""
"Sweden","United Kingdom","2003","1","","1",""
"Sweden","United Rep. of Tanzania","2003","19","","19",""
"Sweden","United States","2003","13","","13",""
"Sweden","Uruguay","2003","3","","3",""
"Sweden","Uzbekistan","2003","156","","156",""
"Sweden","Various","2003","5406","","5406",""
"Sweden","Venezuela (Bolivarian Republic of)","2003","9","","9",""
"Sweden","Viet Nam","2003","340","","340",""
"Sweden","Yemen","2003","15","","15",""
"Sweden","Zambia","2003","2","","2",""
"Sweden","Zimbabwe","2003","2","","2",""
"Switzerland","Afghanistan","2003","1598","","1598",""
"Switzerland","Albania","2003","124","","124",""
"Switzerland","Algeria","2003","254","","254",""
"Switzerland","Angola","2003","2102","","2102",""
"Switzerland","Argentina","2003","2","","2",""
"Switzerland","Armenia","2003","75","","75",""
"Switzerland","Austria","2003","4","","4",""
"Switzerland","Azerbaijan","2003","9","","9",""
"Switzerland","Bangladesh","2003","24","","24",""
"Switzerland","Benin","2003","1","","1",""
"Switzerland","Bhutan","2003","1","","1",""
"Switzerland","Bolivia (Plurinational State of)","2003","1","","1",""
"Switzerland","Bosnia and Herzegovina","2003","6945","","6945",""
"Switzerland","Brazil","2003","5","","5",""
"Switzerland","Bulgaria","2003","38","","38",""
"Switzerland","Burkina Faso","2003","11","","11",""
"Switzerland","Burundi","2003","188","","188",""
"Switzerland","Cambodia","2003","625","","625",""
"Switzerland","Cameroon","2003","37","","37",""
"Switzerland","Central African Rep.","2003","2","","2",""
"Switzerland","Chad","2003","25","","25",""
"Switzerland","Chile","2003","27","","27",""
"Switzerland","China","2003","567","","567",""
"Switzerland","Colombia","2003","220","","220",""
"Switzerland","Congo","2003","49","","49",""
"Switzerland","Côte d'Ivoire","2003","6","","6",""
"Switzerland","Croatia","2003","78","","78",""
"Switzerland","Cuba","2003","53","","53",""
"Switzerland","Dem. People's Rep. of Korea","2003","1","","1",""
"Switzerland","Dem. Rep. of the Congo","2003","1076","","1076",""
"Switzerland","Ecuador","2003","13","","13",""
"Switzerland","Egypt","2003","32","","32",""
"Switzerland","Equatorial Guinea","2003","1","","1",""
"Switzerland","Eritrea","2003","200","","200",""
"Switzerland","Ethiopia","2003","326","","326",""
"Switzerland","France","2003","4","","4",""
"Switzerland","Gambia","2003","12","","12",""
"Switzerland","Georgia","2003","48","","48",""
"Switzerland","Germany","2003","2","","2",""
"Switzerland","Ghana","2003","6","","6",""
"Switzerland","Greece","2003","1","","1",""
"Switzerland","Guinea","2003","32","","32",""
"Switzerland","Guinea-Bissau","2003","9","","9",""
"Switzerland","Hungary","2003","48","","48",""
"Switzerland","India","2003","32","","32",""
"Switzerland","Iraq","2003","3307","","3307",""
"Switzerland","Islamic Rep. of Iran","2003","928","","928",""
"Switzerland","Israel","2003","4","","4",""
"Switzerland","Italy","2003","4","","4",""
"Switzerland","Jordan","2003","25","","25",""
"Switzerland","Kazakhstan","2003","5","","5",""
"Switzerland","Kenya","2003","11","","11",""
"Switzerland","Kuwait","2003","6","","6",""
"Switzerland","Lao People's Dem. Rep.","2003","204","","204",""
"Switzerland","Lebanon","2003","55","","55",""
"Switzerland","Liberia","2003","7","","7",""
"Switzerland","Libya","2003","418","","418",""
"Switzerland","Malaysia","2003","2","","2",""
"Switzerland","Mali","2003","4","","4",""
"Switzerland","Mauritania","2003","2","","2",""
"Switzerland","Mongolia","2003","9","","9",""
"Switzerland","Morocco","2003","20","","20",""
"Switzerland","Mozambique","2003","1","","1",""
"Switzerland","Myanmar","2003","2","","2",""
"Switzerland","Niger","2003","2","","2",""
"Switzerland","Nigeria","2003","22","","22",""
"Switzerland","Pakistan","2003","204","","204",""
"Switzerland","Panama","2003","2","","2",""
"Switzerland","Paraguay","2003","1","","1",""
"Switzerland","Peru","2003","31","","31",""
"Switzerland","Philippines","2003","1","","1",""
"Switzerland","Poland","2003","19","","19",""
"Switzerland","Portugal","2003","5","","5",""
"Switzerland","Rep. of Korea","2003","1","","1",""
"Switzerland","Rep. of Moldova","2003","4","","4",""
"Switzerland","Romania","2003","130","","130",""
"Switzerland","Russian Federation","2003","124","","124",""
"Switzerland","Rwanda","2003","246","","246",""
"Switzerland","Senegal","2003","3","","3",""
"Switzerland","Serbia (and Kosovo: S/RES/1244 (1999))","2003","11249","","11249",""
"Switzerland","Sierra Leone","2003","24","","24",""
"Switzerland","Slovakia","2003","7","","7",""
"Switzerland","Slovenia","2003","4","","4",""
"Switzerland","Somalia","2003","3812","","3812",""
"Switzerland","South Africa","2003","5","","5",""
"Switzerland","Spain","2003","1","","1",""
"Switzerland","Sri Lanka","2003","3679","","3679",""
"Switzerland","State of Palestine","2003","20","","20",""
"Switzerland","Stateless","2003","17","","17",""
"Switzerland","Sudan","2003","185","","185",""
"Switzerland","Syrian Arab Rep.","2003","178","","178",""
"Switzerland","Tajikistan","2003","1","","1",""
"Switzerland","The former Yugoslav Rep. of Macedonia","2003","114","","114",""
"Switzerland","Togo","2003","64","","64",""
"Switzerland","Tunisia","2003","648","","648",""
"Switzerland","Turkey","2003","5779","","5779",""
"Switzerland","Turkmenistan","2003","7","","7",""
"Switzerland","Uganda","2003","37","","37",""
"Switzerland","Ukraine","2003","16","","16",""
"Switzerland","United Kingdom","2003","1","","1",""
"Switzerland","United Rep. of Tanzania","2003","3","","3",""
"Switzerland","Uzbekistan","2003","7","","7",""
"Switzerland","Various","2003","1130","","1130",""
"Switzerland","Viet Nam","2003","2363","","2363",""
"Switzerland","Western Sahara","2003","8","","8",""
"Switzerland","Yemen","2003","62","","62",""
"Syrian Arab Rep.","Afghanistan","2003","425","","425",""
"Syrian Arab Rep.","Algeria","2003","9","","9",""
"Syrian Arab Rep.","Bosnia and Herzegovina","2003","11","","11",""
"Syrian Arab Rep.","Egypt","2003","5","","5",""
"Syrian Arab Rep.","Eritrea","2003","12","","12",""
"Syrian Arab Rep.","Iraq","2003","2435","","2435",""
"Syrian Arab Rep.","Islamic Rep. of Iran","2003","9","","9",""
"Syrian Arab Rep.","Jordan","2003","6","","6",""
"Syrian Arab Rep.","Liberia","2003","1","","1",""
"Syrian Arab Rep.","Libya","2003","1","","1",""
"Syrian Arab Rep.","Serbia (and Kosovo: S/RES/1244 (1999))","2003","1","","1",""
"Syrian Arab Rep.","Somalia","2003","453","","453",""
"Syrian Arab Rep.","Sudan","2003","191","","191",""
"Syrian Arab Rep.","Tunisia","2003","5","","5",""
"Syrian Arab Rep.","Turkey","2003","2","","2",""
"Syrian Arab Rep.","Various","2003","22","","22",""
"Syrian Arab Rep.","Yemen","2003","93","","93",""
"Tajikistan","Afghanistan","2003","3304","2902","3304","2902"
"Tajikistan","Iraq","2003","1","1","1","1"
"Tajikistan","Islamic Rep. of Iran","2003","1","1","1","1"
"Thailand","Afghanistan","2003","12","4","12","4"
"Thailand","Cambodia","2003","55","53","55","53"
"Thailand","Cameroon","2003","4","3","4","3"
"Thailand","China","2003","52","47","52","47"
"Thailand","Congo","2003","1","1","1","1"
"Thailand","Côte d'Ivoire","2003","1","1","1","1"
"Thailand","Dem. Rep. of the Congo","2003","4","4","4","4"
"Thailand","Eritrea","2003","1","1","1","1"
"Thailand","India","2003","4","","4",""
"Thailand","Indonesia","2003","3","","3",""
"Thailand","Iraq","2003","25","23","25","23"
"Thailand","Islamic Rep. of Iran","2003","17","12","17","12"
"Thailand","Lao People's Dem. Rep.","2003","41","41","41","41"
"Thailand","Liberia","2003","8","7","8","7"
"Thailand","Myanmar","2003","118762","118407","118762","118407"
"Thailand","Nigeria","2003","2","2","2","2"
"Thailand","Pakistan","2003","4","3","4","3"
"Thailand","Rwanda","2003","4","4","4","4"
"Thailand","Sierra Leone","2003","1","1","1","1"
"Thailand","Somalia","2003","4","3","4","3"
"Thailand","Sri Lanka","2003","24","21","24","21"
"Thailand","State of Palestine","2003","12","11","12","11"
"Thailand","Stateless","2003","1","","1",""
"Thailand","Sudan","2003","3","2","3","2"
"Thailand","Viet Nam","2003","8","7","8","7"
"The former Yugoslav Rep. of Macedonia","Afghanistan","2003","1","1","1","1"
"The former Yugoslav Rep. of Macedonia","Bosnia and Herzegovina","2003","24","24","24","24"
"The former Yugoslav Rep. of Macedonia","Serbia (and Kosovo: S/RES/1244 (1999))","2003","167","167","167","167"
"The former Yugoslav Rep. of Macedonia","Turkey","2003","1","1","1","1"
"Timor-Leste","Côte d'Ivoire","2003","1","1","1","1"
"Timor-Leste","Viet Nam","2003","2","2","2","2"
"Togo","Burundi","2003","63","29","63","29"
"Togo","Cameroon","2003","6","33","6","33"
"Togo","Central African Rep.","2003","10","6","10","6"
"Togo","Chad","2003","8","","8",""
"Togo","Congo","2003","70","20","70","20"
"Togo","Côte d'Ivoire","2003","54","","54",""
"Togo","Dem. Rep. of the Congo","2003","73","","73",""
"Togo","Ghana","2003","11208","8","11208","8"
"Togo","Liberia","2003","6","","6",""
"Togo","Nigeria","2003","8","612","8","612"
"Togo","Rwanda","2003","809","","809",""
"Togo","Senegal","2003","1","4","1","4"
"Togo","Sierra Leone","2003","10","","10",""
"Togo","Somalia","2003","3","3","3","3"
"Togo","Various","2003","66","22","66","22"
"Tunisia","Algeria","2003","39","39","39","39"
"Tunisia","Bosnia and Herzegovina","2003","2","","2",""
"Tunisia","Bulgaria","2003","1","","1",""
"Tunisia","Burundi","2003","8","2","8","2"
"Tunisia","Chad","2003","2","","2",""
"Tunisia","Côte d'Ivoire","2003","2","2","2","2"
"Tunisia","Iraq","2003","10","6","10","6"
"Tunisia","Islamic Rep. of Iran","2003","6","1","6","1"
"Tunisia","Poland","2003","2","","2",""
"Tunisia","Russian Federation","2003","2","2","2","2"
"Tunisia","Spain","2003","1","1","1","1"
"Tunisia","State of Palestine","2003","19","","19",""
"Tunisia","Syrian Arab Rep.","2003","5","5","5","5"
"Turkey","Afghanistan","2003","83","83","83","83"
"Turkey","Bosnia and Herzegovina","2003","494","134","494","134"
"Turkey","China","2003","30","30","30","30"
"Turkey","Egypt","2003","1","1","1","1"
"Turkey","Eritrea","2003","3","3","3","3"
"Turkey","Ethiopia","2003","4","4","4","4"
"Turkey","Iraq","2003","267","267","267","267"
"Turkey","Islamic Rep. of Iran","2003","1274","1274","1274","1274"
"Turkey","Morocco","2003","1","1","1","1"
"Turkey","Philippines","2003","2","2","2","2"
"Turkey","Rwanda","2003","1","1","1","1"
"Turkey","Serbia (and Kosovo: S/RES/1244 (1999))","2003","213","18","213","18"
"Turkey","Sierra Leone","2003","1","1","1","1"
"Turkey","Somalia","2003","29","29","29","29"
"Turkey","Sri Lanka","2003","1","1","1","1"
"Turkey","State of Palestine","2003","18","18","18","18"
"Turkey","Sudan","2003","7","7","7","7"
"Turkey","Syrian Arab Rep.","2003","3","3","3","3"
"Turkey","Uzbekistan","2003","15","15","15","15"
"Turkey","Various","2003","43","43","43","43"
"Turkmenistan","Afghanistan","2003","1224","1224","1224","1224"
"Turkmenistan","Azerbaijan","2003","132","132","132","132"
"Turkmenistan","Iraq","2003","2","2","2","2"
"Turkmenistan","Russian Federation","2003","11","11","11","11"
"Turkmenistan","Tajikistan","2003","12142","12142","12142","12142"
"Uganda","Burundi","2003","317","317","317","317"
"Uganda","Dem. Rep. of the Congo","2003","11680","11540","11680","11540"
"Uganda","Eritrea","2003","10","10","10","10"
"Uganda","Ethiopia","2003","70","70","70","70"
"Uganda","Kenya","2003","39","39","39","39"
"Uganda","Liberia","2003","6","6","6","6"
"Uganda","Nigeria","2003","3","3","3","3"
"Uganda","Rwanda","2003","19604","19604","19604","19604"
"Uganda","Sierra Leone","2003","1","1","1","1"
"Uganda","Somalia","2003","892","892","892","892"
"Uganda","Sudan","2003","198281","178281","198281","178281"
"Ukraine","Afghanistan","2003","1510","122","1510","122"
"Ukraine","Algeria","2003","1","","1",""
"Ukraine","Angola","2003","33","20","33","20"
"Ukraine","Armenia","2003","242","14","242","14"
"Ukraine","Azerbaijan","2003","237","14","237","14"
"Ukraine","Benin","2003","1","","1",""
"Ukraine","Bosnia and Herzegovina","2003","4","","4",""
"Ukraine","Burkina Faso","2003","1","","1",""
"Ukraine","Burundi","2003","10","1","10","1"
"Ukraine","Cameroon","2003","1","","1",""
"Ukraine","Chad","2003","7","","7",""
"Ukraine","Congo","2003","115","1","115","1"
"Ukraine","Dem. Rep. of the Congo","2003","14","14","14","14"
"Ukraine","Egypt","2003","4","","4",""
"Ukraine","Ethiopia","2003","35","5","35","5"
"Ukraine","Georgia","2003","116","29","116","29"
"Ukraine","Guinea","2003","1","","1",""
"Ukraine","Guinea-Bissau","2003","1","","1",""
"Ukraine","India","2003","1","","1",""
"Ukraine","Iraq","2003","60","8","60","8"
"Ukraine","Islamic Rep. of Iran","2003","28","2","28","2"
"Ukraine","Jordan","2003","3","1","3","1"
"Ukraine","Kazakhstan","2003","17","","17",""
"Ukraine","Lao People's Dem. Rep.","2003","2","","2",""
"Ukraine","Lebanon","2003","2","","2",""
"Ukraine","Liberia","2003","2","1","2","1"
"Ukraine","Libya","2003","2","","2",""
"Ukraine","Madagascar","2003","1","","1",""
"Ukraine","Mali","2003","2","","2",""
"Ukraine","Mozambique","2003","1","1","1","1"
"Ukraine","Nigeria","2003","2","","2",""
"Ukraine","Pakistan","2003","2","1","2","1"
"Ukraine","Russian Federation","2003","218","7","218","7"
"Ukraine","Rwanda","2003","10","","10",""
"Ukraine","Saudi Arabia","2003","1","","1",""
"Ukraine","Senegal","2003","1","","1",""
"Ukraine","Serbia (and Kosovo: S/RES/1244 (1999))","2003","2","","2",""
"Ukraine","Sierra Leone","2003","10","1","10","1"
"Ukraine","Somalia","2003","13","1","13","1"
"Ukraine","Sri Lanka","2003","4","","4",""
"Ukraine","Stateless","2003","7","2","7","2"
"Ukraine","Sudan","2003","68","15","68","15"
"Ukraine","Syrian Arab Rep.","2003","42","","42",""
"Ukraine","Tajikistan","2003","31","3","31","3"
"Ukraine","Turkey","2003","2","","2",""
"Ukraine","Turkmenistan","2003","8","","8",""
"Ukraine","Uzbekistan","2003","1","","1",""
"Ukraine","Yemen","2003","1","","1",""
"United Arab Emirates","Afghanistan","2003","6","6","6","6"
"United Arab Emirates","Eritrea","2003","6","6","6","6"
"United Arab Emirates","Iraq","2003","25","25","25","25"
"United Arab Emirates","Islamic Rep. of Iran","2003","","1","","1"
"United Arab Emirates","Libya","2003","6","6","6","6"
"United Arab Emirates","Somalia","2003","13","13","13","13"
"United Arab Emirates","State of Palestine","2003","29","","29",""
"United Arab Emirates","Stateless","2003","21","21","21","21"
"United Arab Emirates","Sudan","2003","8","8","8","8"
"United Arab Emirates","Syrian Arab Rep.","2003","18","18","18","18"
"United Arab Emirates","Uganda","2003","28","28","28","28"
"United Arab Emirates","Uzbekistan","2003","","4","","4"
"United Kingdom","Afghanistan","2003","21718","","21718",""
"United Kingdom","Albania","2003","1130","","1130",""
"United Kingdom","Algeria","2003","2372","","2372",""
"United Kingdom","Angola","2003","3247","","3247",""
"United Kingdom","Armenia","2003","11","","11",""
"United Kingdom","Azerbaijan","2003","17","","17",""
"United Kingdom","Bangladesh","2003","1257","","1257",""
"United Kingdom","Belarus","2003","7","","7",""
"United Kingdom","Bhutan","2003","9","","9",""
"United Kingdom","Bolivia (Plurinational State of)","2003","8","","8",""
"United Kingdom","Bosnia and Herzegovina","2003","69","","69",""
"United Kingdom","Brazil","2003","1","","1",""
